year,office,candidate,first_name_fix,middle_name_fix,last_name_fix,suffix_fix
2015,DISTRICT COUNCIL,CHERELLE PARKER,CHERELLE,LESLEY,PARKER,
2019,DISTRICT COUNCIL,CHERELLE L PARKER,CHERELLE,LESLEY,PARKER,
2009,JUDGE OF THE COURT OF COMMON PLEAS,KENNETH J POWELL JR,KENNETH,J,POWELL,JR
2009,JUDGE OF THE MUNICIPAL COURT,KENNETH J POWELL JR,KENNETH,J,POWELL,JR
2011,JUDGE OF THE COURT OF COMMON PLEAS,KENNETH J POWELL JR,KENNETH,J,POWELL,JR
2011,JUDGE OF THE MUNICIPAL COURT,KENNETH J POWELL JR,KENNETH,J,POWELL,JR
2013,JUDGE OF THE COURT OF COMMON PLEAS,KENNETH J POWELL JR,KENNETH,J,POWELL,JR
2015,JUDGE OF THE COURT OF COMMON PLEAS,KEN POWELL,KENNETH,J,POWELL,JR
2014,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BEN RAMOS,BENJAMIN,,RAMOS,
2012,UNITED STATES SENATOR,SAM ROHRER,SAMUEL,E,ROHRER,
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,THOMAS C ROLLAND,THOMAS,CHRISTOPHER,ROLLAND,
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN P SABATINA JR,JOHN,P,SABATINA,JR
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN P SABATINA JR,JOHN,P,SABATINA,JR
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN P SABATINA JR,JOHN,P,SABATINA,JR
2012,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN A SABATINA JR,JOHN,P,SABATINA,JR
2014,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN SABATINA JR,JOHN,P,SABATINA,JR
2016,SENATOR IN THE GENERAL ASSEMBLY,JOHN SABATINA,JOHN,P,SABATINA,JR
2019,DISTRICT COUNCIL,MARIA QUIÃ‘ONES SÃNCHEZ,MARIA,QUINONES,SANCHEZ,
2014,SENATOR IN THE GENERAL ASSEMBLY,DANNY SAVAGE,DANIEL,J,SAVAGE,
2004,REPRESENTATIVE IN CONGRESS,ALLYSON SCHWARTZ,ALLYSON,Y,SCHWARTZ,
2006,REPRESENTATIVE IN CONGRESS,ALLYSON SCHWARTZ,ALLYSON,Y,SCHWARTZ,
2008,REPRESENTATIVE IN CONGRESS,ALLYSON SCHWARTZ,ALLYSON,Y,SCHWARTZ,
2003,JUDGE OF THE SUPERIOR COURT,JACQUELINE SHOGAN,JACQUELINE,O,SHOGAN,
2014,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BRIAN SIMS,BRIAN,K,SIMS,
2016,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BRIAN SIMS,BRIAN,K,SIMS,
2018,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BRIAN SIMS,BRIAN,K,SIMS,
2016,REPRESENTATIVE IN THE GENERAL ASSEMBLY,SEAN STEVENS,SEAN,P,STEVENS,
2018,REPRESENTATIVE IN THE GENERAL ASSEMBLY,SEAN STEVENS,SEAN,P,STEVENS,
2007,COUNCIL AT LARGE,T MILTON STREET SR,MILTON,,STREET,SR
2011,MAYOR,T MILTON STREET,MILTON,,STREET,SR
2015,MAYOR,T MILTON STREET SR,MILTON,,STREET,SR
