year,election,office,candidate,first_name,middle_name,last_name,suffix
2007,primary,COUNCIL AT LARGE,RODNEY LITTLE,RODNEY,,LITTLE,
2007,primary,COUNCIL AT LARGE,SHARIF T STREET,SHARIF,T,STREET,
2007,primary,COUNCIL AT LARGE,T MILTON STREET SR,MILTON,,STREET,SR
2007,primary,COUNCIL AT LARGE,W WILSON GOODE JR,W,WILSON,GOODE,JR
2007,primary,COUNCIL AT LARGE,WILLIAM K GREENLEE,WILLIAM,K,GREENLEE,
2007,primary,COUNCIL AT LARGE,WILSON ALEXANDER,WILSON,,ALEXANDER,
2007,primary,COUNCIL AT LARGE,DAVID OH,DAVID,H,OH,
2007,primary,COUNCIL AT LARGE,FRANK RIZZO,FRANK,,RIZZO,
2007,primary,COUNCIL AT LARGE,JACK KELLY,JACK,,KELLY,
2007,primary,COUNCIL AT LARGE,PATRICIA A MATTERN,PATRICIA,A,MATTERN,
2007,primary,COUNCIL AT LARGE,PHIL KERWICK,PHILIP,,KERWICK,
2007,primary,DISTRICT COUNCIL,FRANK J DICICCO,FRANK,J,DICICCO,
2007,primary,DISTRICT COUNCIL,VERNON ANASTASIO,VERNON,,ANASTASIO,
2007,primary,DISTRICT COUNCIL,MICHAEL L SEIDENBERG,MICHAEL,L,SEIDENBERG,
2007,primary,DISTRICT COUNCIL,SEAN PATRICK MCALEER,SEAN,PATRICK,MCALEER,
2007,primary,DISTRICT COUNCIL,BRIAN J O NEILL,BRIAN,J,ONEILL,
2007,primary,DISTRICT COUNCIL,ANNA C VERNA,ANNA,C,VERNA,
2007,primary,DISTRICT COUNCIL,DAMON K ROBERTS,DAMON,K,ROBERTS,
2007,primary,DISTRICT COUNCIL,WILLIAM BLACK,WILLIAM,,BLACK,
2007,primary,DISTRICT COUNCIL,JANNIE L BLACKWELL,JANNIE,L,BLACKWELL,
2007,primary,DISTRICT COUNCIL,KEITH A HAIRSTON SR,KEITH,A,HAIRSTON,SR
2007,primary,DISTRICT COUNCIL,ALFRED J SANFORD,ALFRED,J,SANFORD,
2007,primary,DISTRICT COUNCIL,CAROL ANN CAMPBELL,CAROL,ANN,CAMPBELL,
2007,primary,DISTRICT COUNCIL,CURTIS J JONES JR,CURTIS,J,JONES,JR
2007,primary,DISTRICT COUNCIL,MATTHEW N MCCLURE,MATTHEW,N,MCCLURE,
2007,primary,DISTRICT COUNCIL,MELVIN C JOHNAKIN,MELVIN,C,JOHNAKIN,
2007,primary,DISTRICT COUNCIL,DARRELL L CLARKE,DARRELL,L,CLARKE,
2007,primary,DISTRICT COUNCIL,HAILE C JOHNSTON,HAILE,C,JOHNSTON,
2007,primary,DISTRICT COUNCIL,JOHN J LONGACRE,JOHN,J,LONGACRE,
2007,primary,DISTRICT COUNCIL,JOAN L KRAJEWSKI,JOAN,L,KRAJEWSKI,
2007,primary,DISTRICT COUNCIL,MICHAEL EBSWORTH,MICHAEL,,EBSWORTH,
2007,primary,DISTRICT COUNCIL,DANIEL J SAVAGE,DANIEL,J,SAVAGE,
2007,primary,DISTRICT COUNCIL,MARIA QUINONES SANCHEZ,MARIA,QUINONES,SANCHEZ,
2007,primary,DISTRICT COUNCIL,MARNIE AUMENT LOUGHREY,MARNIE,AUMENT,LOUGHREY,
2007,primary,DISTRICT COUNCIL,GARY GRISAFI,GARY,,GRISAFI,
2007,primary,DISTRICT COUNCIL,CINDY M BASS,CINDY,M,BASS,
2007,primary,DISTRICT COUNCIL,DONNA REED MILLER,DONNA,REED,MILLER,
2007,primary,DISTRICT COUNCIL,GREG PAULMIER,GREG,,PAULMIER,
2007,primary,DISTRICT COUNCIL,IRV ACKELSBERG,IRV,,ACKELSBERG,
2007,primary,DISTRICT COUNCIL,MAURICE J HOUSTON,MAURICE,J,HOUSTON,
2007,primary,DISTRICT COUNCIL,CECIL A HANKINS SR,CECIL,A,HANKINS,SR
2007,primary,DISTRICT COUNCIL,LAMONT THOMAS,LAMONT,W,THOMAS,
2007,primary,DISTRICT COUNCIL,MARIAN B TASCO,MARIAN,B,TASCO,
2007,primary,DISTRICT COUNCIL,RAYMOND T JONES JR,RAYMOND,T,JONES,JR
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,ALICE BECK DUBOW,ALICE,BECK,DUBOW,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,ANGELES ROCA,ANGELES,,ROCA,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,BEVERLY MULDROW,BEVERLY,N,MULDROW,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,CHRISTIAN H CLEMENTE,CHRISTIAN,H,CLEMENTE,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,DAN ANDERS,DAN,,ANDERS,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,ELLEN GREEN CEISLER,ELLEN,GREEN,CEISLER,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,ELVIN ROSS III,ELVIN,,ROSS,III
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,GERARD P SHOTZBARGER,GERARD,P,SHOTZBARGER,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,GREG COLEMAN,GREGORY,A,COLEMAN,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,J SCOTT O KEEFE,J,SCOTT,OKEEFE,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,JOSEPH T MURPHY JR,JOSEPH,T,MURPHY,JR
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,JOYCE EUBANKS,JOYCE,,EUBANKS,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,LINDA CARPENTER,LINDA,,CARPENTER,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,MARVIN L WILLIAMS,MARVIN,L,WILLIAMS,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,MICHAEL ERDOS,MICHAEL,,ERDOS,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,ROBERT COLEMAN,ROBERT,P,COLEMAN,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,ROSA RYAN,ROSA,,RYAN,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,THOMAS M NOCELLA,THOMAS,M,NOCELLA,
2007,primary,JUDGE OF THE COURT OF COMMON PLEAS,THOMAS MARTIN,THOMAS,,MARTIN,
2007,primary,JUDGE OF THE MUNICIPAL COURT,DIANE THOMPSON,DIANE,,THOMPSON,
2007,primary,JUDGE OF THE MUNICIPAL COURT,JACQUELYN FRAZIER LYDE,JACQUELYN,FRAZIER,LYDE,
2007,primary,JUDGE OF THE MUNICIPAL COURT,JOSEPH C WATERS JR,JOSEPH,C,WATERS,JR
2007,primary,JUDGE OF THE MUNICIPAL COURT,JOSEPH J O NEILL,JOSEPH,J,ONEILL,
2007,primary,JUDGE OF THE MUNICIPAL COURT,JOYCE EUBANKS,JOYCE,,EUBANKS,
2007,primary,JUDGE OF THE MUNICIPAL COURT,ROBERT M KLINE,ROBERT,M,KLINE,
2007,primary,JUDGE OF THE MUNICIPAL COURT,SANDJAI WEAVER,SANDJAI,,WEAVER,
2007,primary,JUDGE OF THE MUNICIPAL COURT,SEAN F KENNEDY,SEAN,F,KENNEDY,
2007,primary,JUDGE OF THE MUNICIPAL COURT,JOSEPH T MURPHY JR,JOSEPH,T,MURPHY,JR
